Pitch #	Inning	Half	Pitching Team	Pitcher #	Pitcher	Batting Team	Batter	Pitch Code	Pitch Type	Count Before	Count After	Recorded At
1	1	top	home	52	Cionel Pérez	away	Trea Turner	C	Called Strike	0-0	0-1	2026-06-28T17:43:44.943Z
2	1	top	home	52	Cionel Pérez	away	Trea Turner	IP	In Play	0-1	0-1	2026-06-28T17:43:59.060Z
3	1	top	home	52	Cionel Pérez	away	Kyle Schwarber	SW	Swinging Strike	0-0	0-1	2026-06-28T17:44:35.656Z
4	1	top	home	52	Cionel Pérez	away	Kyle Schwarber	SW	Swinging Strike	0-1	0-2	2026-06-28T17:44:53.017Z
5	1	top	home	52	Cionel Pérez	away	Kyle Schwarber	F	Foul	0-2	0-2	2026-06-28T17:45:23.861Z
6	1	top	home	52	Cionel Pérez	away	Kyle Schwarber	SW	Swinging Strike	0-2	0-3	2026-06-28T17:45:47.163Z
7	1	top	home	52	Cionel Pérez	away	Bryce Harper	SW	Swinging Strike	0-0	0-1	2026-06-28T17:46:23.429Z
8	1	top	home	52	Cionel Pérez	away	Bryce Harper	SW	Swinging Strike	0-1	0-2	2026-06-28T17:46:40.829Z
9	1	top	home	52	Cionel Pérez	away	Bryce Harper	SW	Swinging Strike	0-2	0-3	2026-06-28T17:46:59.830Z
10	1	bottom	away	44	Jesús Luzardo	home	Carson Benge	C	Called Strike	0-0	0-1	2026-06-28T17:49:13.467Z
11	1	bottom	away	44	Jesús Luzardo	home	Carson Benge	B	Ball	0-1	1-1	2026-06-28T17:49:28.583Z
12	1	bottom	away	44	Jesús Luzardo	home	Carson Benge	SW	Swinging Strike	1-1	1-2	2026-06-28T17:49:39.716Z
13	1	bottom	away	44	Jesús Luzardo	home	Carson Benge	F	Foul	1-2	1-2	2026-06-28T17:50:01.828Z
14	1	bottom	away	44	Jesús Luzardo	home	Carson Benge	F	Foul	1-2	1-2	2026-06-28T17:50:16.578Z
15	1	bottom	away	44	Jesús Luzardo	home	Carson Benge	IP	In Play	1-2	1-2	2026-06-28T17:50:34.011Z
16	1	bottom	away	44	Jesús Luzardo	home	Juan Soto	F	Foul	0-0	0-1	2026-06-28T17:51:07.651Z
17	1	bottom	away	44	Jesús Luzardo	home	Juan Soto	C	Called Strike	0-1	0-2	2026-06-28T17:51:33.872Z
18	1	bottom	away	44	Jesús Luzardo	home	Juan Soto	IP	In Play	0-2	0-2	2026-06-28T17:51:47.258Z
24	1	bottom	away	44	Jesús Luzardo	home	Bo Bichette	B	Ball	0-0	1-0	2026-06-28T17:54:26.155Z
25	1	bottom	away	44	Jesús Luzardo	home	Bo Bichette	F	Foul	1-0	1-1	2026-06-28T17:54:27.801Z
26	1	bottom	away	44	Jesús Luzardo	home	Bo Bichette	B	Ball	1-1	2-1	2026-06-28T17:54:28.367Z
27	1	bottom	away	44	Jesús Luzardo	home	Bo Bichette	B	Ball	2-1	3-1	2026-06-28T17:54:28.663Z
28	1	bottom	away	44	Jesús Luzardo	home	Bo Bichette	C	Called Strike	3-1	3-2	2026-06-28T17:54:45.484Z
29	1	bottom	away	44	Jesús Luzardo	home	Bo Bichette	SW	Swinging Strike	3-2	3-3	2026-06-28T17:55:03.537Z
30	2	top	home	52	Cionel Pérez	away	Alec Bohm	C	Called Strike	0-0	0-1	2026-06-28T17:56:31.183Z
31	2	top	home	52	Cionel Pérez	away	Alec Bohm	IP	In Play	0-1	0-1	2026-06-28T17:56:32.662Z
35	2	top	home	32	Tobias Myers	away	Brandon Marsh	C	Called Strike	0-0	0-1	2026-06-28T17:58:13.798Z
36	2	top	home	32	Tobias Myers	away	Brandon Marsh	SW	Swinging Strike	0-1	0-2	2026-06-28T17:58:15.948Z
37	2	top	home	32	Tobias Myers	away	Brandon Marsh	F	Foul	0-2	0-2	2026-06-28T17:58:17.064Z
38	2	top	home	32	Tobias Myers	away	Brandon Marsh	F	Foul	0-2	0-2	2026-06-28T17:58:19.696Z
39	2	top	home	32	Tobias Myers	away	Brandon Marsh	F	Foul	0-2	0-2	2026-06-28T17:58:26.817Z
40	2	top	home	32	Tobias Myers	away	Brandon Marsh	F	Foul	0-2	0-2	2026-06-28T17:58:27.016Z
41	2	top	home	32	Tobias Myers	away	Brandon Marsh	F	Foul	0-2	0-2	2026-06-28T17:58:39.227Z
42	2	top	home	32	Tobias Myers	away	Brandon Marsh	C	Called Strike	0-2	0-3	2026-06-28T17:59:09.255Z
43	2	top	home	32	Tobias Myers	away	J.T. Realmuto	C	Called Strike	0-0	0-1	2026-06-28T17:59:41.386Z
44	2	top	home	32	Tobias Myers	away	J.T. Realmuto	SW	Swinging Strike	0-1	0-2	2026-06-28T17:59:57.941Z
45	2	top	home	32	Tobias Myers	away	J.T. Realmuto	SW	Swinging Strike	0-2	0-3	2026-06-28T18:00:32.792Z
46	2	top	home	32	Tobias Myers	away	Bryson Stott	C	Called Strike	0-0	0-1	2026-06-28T18:01:06.834Z
47	2	top	home	32	Tobias Myers	away	Bryson Stott	B	Ball	0-1	1-1	2026-06-28T18:01:23.821Z
48	2	top	home	32	Tobias Myers	away	Bryson Stott	B	Ball	1-1	2-1	2026-06-28T18:01:42.570Z
49	2	top	home	32	Tobias Myers	away	Bryson Stott	F	Foul	2-1	2-2	2026-06-28T18:02:13.792Z
50	2	top	home	32	Tobias Myers	away	Bryson Stott	F	Foul	2-2	2-2	2026-06-28T18:02:39.398Z
51	2	top	home	32	Tobias Myers	away	Bryson Stott	IP	In Play	2-2	2-2	2026-06-28T18:03:06.575Z
52	2	bottom	away	44	Jesús Luzardo	home	Mark Vientos	C	Called Strike	0-0	0-1	2026-06-28T18:03:53.704Z
53	2	bottom	away	44	Jesús Luzardo	home	Mark Vientos	SW	Swinging Strike	0-1	0-2	2026-06-28T18:04:36.988Z
54	2	bottom	away	44	Jesús Luzardo	home	Mark Vientos	F	Foul	0-2	0-2	2026-06-28T18:04:48.459Z
55	2	bottom	away	44	Jesús Luzardo	home	Mark Vientos	F	Foul	0-2	0-2	2026-06-28T18:05:14.221Z
56	2	bottom	away	44	Jesús Luzardo	home	Mark Vientos	B	Ball	0-2	1-2	2026-06-28T18:05:40.220Z
57	2	bottom	away	44	Jesús Luzardo	home	Mark Vientos	F	Foul	1-2	1-2	2026-06-28T18:06:05.517Z
58	2	bottom	away	44	Jesús Luzardo	home	Mark Vientos	C	Called Strike	1-2	1-3	2026-06-28T18:06:25.930Z
59	2	bottom	away	44	Jesús Luzardo	home	Mark Vientos	IP	In Play	1-3	1-3	2026-06-28T18:06:45.286Z
69	3	top	home	32	Tobias Myers	away	Justin Crawford	B	Ball	0-0	1-0	2026-06-28T18:14:22.113Z
70	3	top	home	32	Tobias Myers	away	Justin Crawford	B	Ball	1-0	2-0	2026-06-28T18:14:32.038Z
71	3	top	home	32	Tobias Myers	away	Justin Crawford	IP	In Play	2-0	2-0	2026-06-28T18:14:43.651Z
72	3	top	home	32	Tobias Myers	away	Trea Turner	C	Called Strike	0-0	0-1	2026-06-28T18:15:25.507Z
